timestep,reward
2,0.697
2818,0.4305
5656,0.582
8460,0.675
11170,0.459
14095,0.4815
16764,0.472
19680,0.4285
22627,0.5325
25335,0.3235
28250,0.5155
30984,0.3575
33856,0.4535
36520,0.49
39273,0.404
42105,0.459
44839,0.5265
47533,0.413
50414,0.4845
53357,0.2985
56100,0.585
58737,0.398
61544,0.567
64389,0.45
67288,0.481
70067,0.555
72738,0.43
75460,0.526
78166,0.4325
80862,0.496
83625,0.4725
86318,0.582
89180,0.555
92032,0.462
94731,0.5425
97379,0.3855
100282,0.496
102960,0.4055
105769,0.345
108615,0.5295
111345,0.4445
114090,0.6565
116875,0.371
119641,0.51
122493,0.486
125396,0.4465
128134,0.472
130906,0.5405
133681,0.486
136426,0.409
139098,0.5151
